idMeme,nombreImagen,URL,Cuenta,Shares,MeGusta,MeEncanta,MeDivierte,MeAsombra,MeEntristece,MeEnoja,PRI,PAN,MORENA,INDEPENDIENTE,POSITIVO,NEGATIVO,NEUTRAL,textoDentroImagen,textoPublicacion,localización cuenta,Comentario1,URLComentador1,LocalizacionComentario1,Comentario2,URLComentador2,LocalizacionComentario2,Comentario3,URLComentador3,LocalizacionComentario3,Comentario4,URLComentador4,LocalizacionComentario4,Comentario5,URLComentador5,LocalizacionComentario5,NombreEquipoDelfin,Observaciones
53,memes67.png,"
https://www.facebook.com/photo.php?fbid=10155864510813439&set=p.10155864510813439&type=1&opaqueCursor=Abqwf2Tg0iGZaGT3n0VdzISPn7j1acvj-HGnxRXGHEahLjHkmdYbWgQB6js5gayyA4KD0lEgW-SaecCL7WY9E-0_Cs6QMMV1IjHKVSCt1RqhxOGyTm3oijDSwQjgEL-hTuBr5mIdP_gzfKcIzqjuAmuQ9c2uDa2sk7u-VMyIW6XSvyMqX5Bisv-SfqoXiceXeGGYbBP3LeVjjAeEpatUxOSf602rGZh9_LRzTrgvJ5QwHddP9hCmTpxv1hc1OwIjWGqlTh_K76YKPLViGRw90jQ-t3LD38AvI0XR29FkORDTb4PKOnGlY9K3Mws1WqICT4yPNRMbGw7bdGxCf5ZfWYk5r3o2HyZrvM8zvULEkf1t61aEP7InxsnpbqZmGiF-2qPHnQj3yW8eVflYWbD8a9R0&theater",Vicko Prz,29,9,2,33,0,0,0,0,1,0,0,0,1,0,"No se esconda, no es Anaya",Amo los memes de Anaya,n/a,No lo puedo compartir! Jajaja,https://www.facebook.com/betiitozaiid.basrm?fref=ufi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
54,memes68.png,https://www.facebook.com/1598749207050564/photos/p.2052499311675549/2052499311675549/?type=1&opaqueCursor=AboGmWS47AVe0ZrmCNXeA1-6ts0OtW0AhIECZBPDz-PUGIqXgT2oHR7Xn11J5KekbcJR4Dcwa9runCHoCrKpjZIw36epcw6PG2hAP5xNg7bDAiWYOU_R8KQSHusOF3YI94-1kjzLj3eIluSW-Jnb4GUvm4uvA_woL1-8dYVr0OstO5-qsxsM3RL8-BrF7I-B5arKd6v77RV-EJAMyp8NGTf-eid-e4wX0ukzgO1abvv8No0hYucqJyHGBq0NSMYqFQ3jLJAD87czwZte7Hetp652qLvWBh8MvmET39e0hAUxbS9dtD-khIMpVKVKcj2zap8vv1CnyC2B7goaZ98WZy9-dwnbR1nE11IReIARfBCfP1MJoy2WO10jbdSqWMruIQiEbcGchRqtazOriPGDSwFoRNEIOGVu8V2xH22OvSz5-QEHeUooMqygHy6FQX0FW60&theater,MEMES UT,92,61,0,250,0,1,1,0,1,0,0,0,1,0,Muy rico y todo por yo sólo vine por los puntos extras que me dará el profe,Todos los estudiantes que fueron ayer al evento de Ricardo Anaya. :v,n/a, Mariely y Juan JAJAJAJA USTEDES,https://www.facebook.com/vale.montielmaldonado?fref=ufi&rc=p,n/a,Siguen llevando a la UT xD benditos puntos extras,https://www.facebook.com/GBramby?fref=ufi&rc=p,n/a,Y por la concha,https://www.facebook.com/profile.php?id=100006392117167&fref=ufi&rc=p,n/a,Pinches prros sin vergüenza :v,https://www.facebook.com/SnakeandTheBoss?fref=ufi&rc=p,España,n/a,n/a,n/a,Tec,n/a
55,memes69.jpg,https://www.facebook.com/coyotv1/photos/p.1609636265768969/1609636265768969/?type=1&opaqueCursor=AbokdhjU5rPompfo3nLuI3fiKsqq3CXsC5GK1exkpjsG9NWJgsgRJ_JwfLTQX37egU3ajHXKQOFbWqtodzUWNZ7Z7VtfqwSU0lASLSQlG2acSNR_fXLtGxseesMSAbF0r6-6SpeUnbUlpTX-cQXwYpWwnsyL7DXyAkQc2sNJitNYbqinmiuzWW8fv17j9BPGNrEAKZTw_MmAFRyZU3MESmK6pFKukWr_fn8tUIGt3HkNGH7BS5HKsKk_lFGdUe2RwRJh1kJnPHqacueN93EChEExJaoXkUyvDYO6Tj_rV2kwp6B2AJ_JxecirzsYxUfhI9CPhsFQzq_WQTbs3wbLB6Z0p_6CPy3QorXTlYjRvgxvvcByL8a6ErjC5FIrP1C-ByZ-WPG4Sr5vKhwx9nWEVm5mswdC0J70dqaxpH2bPaZtaSj2BJiLyhBUq6NhAFGk0ckO6PlxLz98S9OT51UeBfl4&theater,Coyotv,28,6,0,5,0,1,0,0,1,0,0,0,1,0,Yo llevo una vida muy austera. Como la de un menonita. Memes de #LordAnaya,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,Esta contra anaya
56,memes70.jpg,https://www.facebook.com/PANistasXMx/photos/p.352688471875319/352688471875319/?type=1&opaqueCursor=AbqOtldwpX8pYq4_ctqvJDt0AoLWPzvNty9Y_AbLlfv468QPqHLFYZA4E_9VbZT6dQgKaMfefAgVhdquErPTmtOEG6oXMRl10VdpFZyd1h3376f3aiQD6451A1plXtDQIjEDMcvCbdvHgzpw-F_J6AQXkbPmbCZqD87MFPwxfN38xFzd0C019aGZ4GIhv8RlmUNiilqF4wcd2OWG57arDiyNnlJqzOukt65lX4rmSUU7qmEf6e6ghIyo26-IPEBBjw0W7bssUJ-4vugVacKpzP4TIUGJqH1OSxRy2jcjPjKQYY4dZhOavkz755JT--p0TiRNV6EX-iZ7hev2fS5KBTHjfXru30epPN2mlI_OQsMNBR9NKZ2TRS_q9t-l_1heOa6PbEpa6B4L9e7bWkHqteFm0DyY1ovqLUJOcT5nS36gLQ&theater,Anayistas,192,579,131,513,2,3,11,0,1,0,0,1,0,0,El que va a ganarle a yasabes quién,‪El día de hoy miles de militantes del Partido Acción Nacional emitieron su voto para dejar claro que con Ricardo Anaya Cortés y el Frente Ciudadano por México ganaran las #Elecciones2018 #AnayistasAlFrente #ElecciónInternaPAN #PAN #PRD #MC ‬,n/a,"Mmm, probablemente vote por ANAYA, pero esta publicación me parece ridícula, aunque solo hubieran votado diez panistas de todos modos el seria su candidato al no haber oponente.",https://www.facebook.com/noe.ramirez.921025?fref=ufi&rc=p,n/a,Pero si fue una eleccion en donde solo estaba su nombre en la boleta más o menos como las elecciones de cuba jajaja yo no quiero que Mexico sea como cuba,https://www.facebook.com/profile.php?id=100006551531529&fref=ufi&rc=p,n/a,Traidor titere de el. PRD ACABASTE CON EL PAN Y ADEMÁS CORRUPTO,https://www.facebook.com/georginaisabel.lopezestrada.16?fref=ufi&rc=p,n/a,Vamos con todo,https://www.facebook.com/kai.skatecore?fref=ufi&rc=p, Ciudad de méxico,"Anaya Huatusco,Veracruz te apoya",https://www.facebook.com/profile.php?id=100016180800189&fref=ufi&rc=p,n/a,Tec,Apoyan a anaya
57,memes71.jpg,https://www.facebook.com/ElUniversalOnline/photos/pcb.10156558685380681/10156558683300681/?type=3&theater,El Universal Online,29,65,4,96,0,0,0,0,1,0,0,0,1,0,"Durante los últimas días me han estado siguiendo.Hoy es un Tiida. Hace unos días, un Jeep... ¡MUY INTERESANTE! DËJAME ANOTARLO EN MI MAQUINA DE ESCIBIR INVISIBLE",Fotos Más tardó el aspirante panista a denunciar en un video un supuesto espionaje de parte de un agente del Cisen que los usuarios de redes sociales tomar la denuncia con humor https://goo.gl/iUu8GS,México,Jajaja,https://www.facebook.com/delaplc?fref=ufi&rc=p,Guadalajara,Cc,https://www.facebook.com/guadalupe.amadorsolis?fref=ufi&rc=p,Morelia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
58,memes72.jpg,https://www.facebook.com/KoakumaKOF/photos/p.946423445531414/946423445531414/?type=1&opaqueCursor=AbqhHFUlQkuXDU5SQksB1TLXqf8BaRLoFVehwKbwK7Ml7I5XmdwqFhBw_-I_Urtlbjq2ornPMypdq1bYMPRdMTQzANw70QUTX_3CKfVTIy-zSPXaXysUupJZMUGrCf9FHRfo3yWO2abiNA7v6jJLvb1opGBezzvmCZfnSfA1nfgLQeQpYdknUSUygVHl8h714JH3vUTGXkCSLyULg9Or2wPvcZok8qO290pzcQJibJCuoIapVmyYbTQjJ2q5f9VOo6w4g66x4DaiySV2qSuLpCatBU9ToyFhoy3YF6gnEpKG938XGUaQeYPw2CwZVs3X2-HleN1VZsmaotJ2OfBNo4XfcfSPW9Qu49kUYjyzkM-ufjr_yXcWpU3Q-qOjcFEAgfQSNNiR1rotTJlwB0TiHeaIoMKOYv34_fHG46RHIVIAmLmdw4AY4EZD0R5empH14EY&theater,Koakuma - KOF,1,3,13,0,0,0,0,0,1,1,0,0,0,1,Si te lo pruebo Renuncias a la candidatura?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
59,memes73.jpg,https://www.facebook.com/InformatYucatan/photos/p.904029729779513/904029729779513/?type=1&opaqueCursor=AbojZkPu-sqlX4umiirDXmzrRyN6DFS-uzmBBcfjaEL735gg1iNK6Oi8sajLyhiEYO0KBn5vQ8HZ_KMwK0lRpDzZqCNOidTng0aEPyXlr58e1R-PZHxYtlmlelR3szk5luvKH_Fgpx1uCsABwAfilyvAGzOvc6AHjATWmbOCA1HK3sw4Of6__sDeOFQ03AfXXljrhdFhIe9v8vyFA2uNAgZOaFd7ltHWLnhOrr5qlNMFCbyooW7L_LsxSRI-1SOhYNeIA7ugSiLrzbDQYqo11vnMbEMWkJ5ELELyjjPl4eiyt33AdGwIDzn2-r4yphYrLqV-u-xAV2P-xRvFVmoY80TeD2y68stgkwMHx7fl43qWLu3mOJ2sZfUdIPAe3LVUxz6ad0KA6OyWFsuLces7RJW_AMt6LdBuMWuKHazhWXqyRL5qPPnCOv6oLl0wkXfPvqNQvXXJeE9HcHfLhzNjty6X&theater,Informat Yucatán,33,10,13,0,0,0,0,0,1,0,0,0,1,0,Yo en mis clases de francés. Lapluplú competitiv de tú-lemóm,n/a,Yucatán,Cuando inicie mis clases turbobasicas Giselle,https://www.facebook.com/josealonso.martinezcastellanos?fref=ufi&rc=p,n/a,JAJAJAJAJAJAJA así como tú,https://www.facebook.com/alicia.delafuente.961?fref=ufi&rc=p,n/a,Luis Angel JAJAJAJAJAJAJAJAAJJAHA PERDOOOOON,https://www.facebook.com/profile.php?id=100005765777872&fref=ufi&rc=p,Apizaco,"¡¡¡¡¡¡¡ME CAGO DE RISA Y EN LA JETA DE ESTE PENDEJO!!!!!!!!!!..... ERES UN ENGAÑA PENDEJOS..... NI TUS SEGUIDORES DEFIENDEN TUS ESTUPIDAS TESIS DE NEOLIBERALES....... ¿ACASO SUPISTE DAR UNA RESPUESTA A ESTE PUNTO? El aumento de ISR 28 al 30% de ISR, IV...Ver más",https://www.facebook.com/yahirjosel.andradesaenz?fref=ufi&rc=p,n/a,n/a,n/a,n/a,Tec,n/a
60,memes74.jpg,https://www.facebook.com/RicarditoChickenLittleAnaya/photos/a.2012874575618832.1073741827.2012872235619066/2113941885512100/?type=3&theater,Ricardito Chicken Little Anaya,936,415,20,16000,5,172,0,1,1,1,0,0,1,0,n/a,n/a,n/a,Amamos al viejito,https://www.facebook.com/melbaneliaespinosa?fref=ufi&rc=p,n/a,Gemma JAJAJAJAJAJA la neta sí me dolió esa escena 😭,https://www.facebook.com/edgarandres.mercadoruelas?fref=ufi&rc=p,n/a,"Pobre, espero que recupere el dinero perdido que invirtió en todas las gráficas contra AMLO",https://www.facebook.com/ana.alvarado.395454?fref=ufi&rc=p,Ciudad de méxico,"El ganon fue mi abuelito. Pobre Luisito chiquen Anaya, sentí re feo.",https://www.facebook.com/profile.php?id=100003053663735&fref=ufi&rc=p,n/a,WEEEY SENTI HORRIBLE AL VER ESA ESCENA.... TRAÍA UN JAMÓN!! UN JAMOOON!!!,https://www.facebook.com/Cristy.RDz.Camacho?fref=ufi&rc=p,n/a,Tec,Tienen más memes de anaya
61,memes75.jpg,https://www.facebook.com/RicarditoChickenLittleAnaya/photos/a.2012925972280359.1073741829.2012872235619066/2109099382663017/?type=3&theater,Ricardito Chicken Little Anaya,120,157,20,350,2,0,0,0,1,0,0,0,1,0,Conservaré mi dignidad ¡Uy lavado de dinero!,n/a,n/a,Me parece extraño que no hayan venido los admiradores de Anaya a tratar de tumbar la página por la 'veda electoral'. Pero al carajo esa ley pendeja,https://www.facebook.com/profile.php?id=100017311569115&fref=ufi&rc=p,Torreon,Uy Andrés Manuel,https://www.facebook.com/omarcete.chavez?fref=ufi&rc=p,Nueva York,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,Tienen más memes de anaya
62,memes76.png,https://www.facebook.com/1499569800318675/photos/basw.AbrqR4PAyXLGTaw7LaN6YLy7-7NCqG6RVYbhpbspUg-Sp76fLB-nfyzntznO11txJ9-npuU3ftM0hWT2dnKN7TWiKiWi5VeMxM1l7MsxEuzwTNuMKdgxxg9hUuNQRDUfyQNiT0CVrzBk_cpwB6xH6ntR.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1814919295450389/?type=3&theater,Peje's memes,8,6,0,5,0,0,3,0,0,1,0,0,1,0,QUE LA MALDICIÓN DEL PEJE TODO PODEROSO CAIGA SOBRE TODOS LOS CHAIROS,#AMLO #ViejitoChocho#AndresManuelLopezObrador #Peje #Morena#MovimientoDeRegeneracionNacional #Loco#MartiBatres #Chairos #PejeBots#MorenaEsUnFraude #MafiaDelPoder#AmloCorrupto #Borracho #ViejitoDeLasPalomas#Trumpbrador,n/a,Mientras ďeseen el mal yo t digo ati Dtb bay,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
63,memes77.jpg,https://www.facebook.com/ZocaloMVA/photos/basw.Abpo7DUrAzk_KL5uI42409cAFGl_se1kr0y27MTObQjQ1wZsKHAr8YFEUPU45qfGAMW9ZWrXdXTnPsWj-xhqUp2ihT35hfnz9UP4R-ToNuCvxdTpiOtg0-GtoCwhGLPm7eLmNFGxm2h8jKilE39P9sTw.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1115319511954402/?type=3&theater,Zócalo Monclova,24,8,1,7,0,0,0,1,0,1,0,0,0,1,ya se les acabo su pendejo,n/a,n/a,Pero sigues siendo el pendejo de la puta de la gaviota.,n/a,n/a,Jajaja,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
64,memes78.jpg,https://www.facebook.com/MEMEcraciaMX/photos/basw.Abpo7DUrAzk_KL5uI42409cAFGl_se1kr0y27MTObQjQ1wZsKHAr8YFEUPU45qfGAMW9ZWrXdXTnPsWj-xhqUp2ihT35hfnz9UP4R-ToNuCvxdTpiOtg0-GtoCwhGLPm7eLmNFGxm2h8jKilE39P9sTw.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/335796216794056/?type=3&theater,MEMEcracia,104,35,0,16,2,1,0,0,0,1,0,1,0,0,SI SUBE EL DOLAR NO AFECTA EN MÉXICO USAMOS PESOS,Así es como #AMLO calma a la chairiza #Memes#EleccionesEU #Chairo #Morena #Pejezombie,n/a,n/a,n/a,n/a,aajaja,n/a,n/a,n/a,n/a,n/a,No manchen jaja el nunca ha dicho cosas así,n/a,n/a,n/a,n/a,n/a,Tec,n/a
65,memes79.jpg,https://www.facebook.com/CapitalMexicoMx/photos/basw.Abpo7DUrAzk_KL5uI42409cAFGl_se1kr0y27MTObQjQ1wZsKHAr8YFEUPU45qfGAMW9ZWrXdXTnPsWj-xhqUp2ihT35hfnz9UP4R-ToNuCvxdTpiOtg0-GtoCwhGLPm7eLmNFGxm2h8jKilE39P9sTw.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1586603398121747/?type=3&theater,Capital México,147,37,5,14,0,1,0,0,0,1,0,1,0,0,¿ON´ TA MI PRÓXIMO PRESIDENTE?,El meme de #AMLO que causó más pena que gloria. 🤷‍♂️,n/a,Gano porque gano que putiza le metió al prifue la voz del pueblo con su voto dijeron vasta a todoooo estos años de abusar,n/a,n/a,Aquí está,n/a,n/a,Presente,n/a,n/a,tu soñando(8 (no me odies),n/a,n/a,Cómo ? Tiene una mano deforme que onda? O es artritis se ve fea,n/a,n/a,Tec,n/a
66,memes80.jpg,https://www.facebook.com/2242419379318282/photos/basw.Abpo7DUrAzk_KL5uI42409cAFGl_se1kr0y27MTObQjQ1wZsKHAr8YFEUPU45qfGAMW9ZWrXdXTnPsWj-xhqUp2ihT35hfnz9UP4R-ToNuCvxdTpiOtg0-GtoCwhGLPm7eLmNFGxm2h8jKilE39P9sTw.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/2369732589920293/?type=3&theater,AMLO Memes,49,78,7,78,0,1,1,0,0,1,0,1,0,0,"Amlo enterándose de que ganó, el muy hdspm",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
67,memes81.jpg,https://www.facebook.com/1726338037639904/photos/basw.AbpaYKVJEqKvstTByJ8Cj7TfvxMVTfO5kDJTkJq11ThAWbasEsdnQb0TevGw7_IeplxLWJXXQn9Rv8rxW2jvmz-9gIPgfvxvnbvrt5Eb94qp0Xw72qXQoP0iRl5kpiZUgM5_ee4Sd-C_ZNhG_TNmh5BG.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1729015287372179/?type=3&theater,Memes de amlo,94,38,3,39,0,0,0,0,0,1,0,0,0,1,AMLO IN 2084 Postulandocse por catorceava vez EJTE VEJ AJEGURO QUE JI VAMOJ A GANAR,n/a,n/a,jajajaja.....,n/a,n/a,encontré esto,n/a,n/a,n/a,n/a,n/a,Carlos Nicolas Lavadores Solis,n/a,n/a,n/a,n/a,n/a,Tec,n/a
68,memes82.jpg,https://www.facebook.com/lafronteradice/photos/basw.AbpaYKVJEqKvstTByJ8Cj7TfvxMVTfO5kDJTkJq11ThAWbasEsdnQb0TevGw7_IeplxLWJXXQn9Rv8rxW2jvmz-9gIPgfvxvnbvrt5Eb94qp0Xw72qXQoP0iRl5kpiZUgM5_ee4Sd-C_ZNhG_TNmh5BG.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1878304142228470/?type=3&theater,LaFronteradice.com,1,2,0,2,0,0,0,0,1,1,0,0,1,0,AMLO es un peligro para Mí Pensión,n/a,Anastacio Bustamante número 25. Colonia Guadalupe Victoria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
69,memes83.jpg,https://www.facebook.com/2242419379318282/photos/basw.AbpaYKVJEqKvstTByJ8Cj7TfvxMVTfO5kDJTkJq11ThAWbasEsdnQb0TevGw7_IeplxLWJXXQn9Rv8rxW2jvmz-9gIPgfvxvnbvrt5Eb94qp0Xw72qXQoP0iRl5kpiZUgM5_ee4Sd-C_ZNhG_TNmh5BG.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/2369727933254092/?type=3&theater,AMLO Memes,345,172,31,335,0,2,1,0,0,1,0,0,0,1,- y ahora que ?,Cuando después de más de 12 años de campaña por fin ganas la elección,n/a,Pues a seguir chambeando mijo! Un gran ejemplo esté sr.,n/a,n/a,A TRABAJAR ! Y ESTE CABRÓN NUNCA LO HA HECHO !JAJAJAJAJA,n/a,n/a,America Sáenz,n/a,https://www.facebook.com/profile.php?id=100009910329035&lst=100001620568225%3A100009910329035%3A1531182351,Alejandra Cano tardo 17 en terminar la universidad y 12 en ser presidente jajaja,n/a,https://www.facebook.com/yolanda.ro.7?fref=hovercard&hc_location=ufi,Monserrat Vázquez,n/a,https://www.facebook.com/profile.php?id=100023612871197&fref=hovercard&hc_location=ufi,Tec,n/a
70,memes84.jpg,https://www.facebook.com/LordAMLO/photos/basw.AbqERDhmFw5QuB0ESH2y5UwjYzxgMpwejHQqkPax5vavV7HH19CmYBzHVpPbe39zhn_U6n4VMoutrs-DienHE-VLJX8LJc9P_QaS90IxbyBDh8WosrHJ3pU0InZ7SNBhwaqlYXScvWwsr7eyRNY5VfXY.1814919295450389.1115319511954402.335796216794056.1586603398121747.2369732589920293.1729015287372179.1878304142228470.2369727933254092.1695774320721933/1695774320721933/?type=3&theater,AMLO y sus memes,32,31,10,11,1,0,0,0,0,1,0,1,0,0,Si no me quisiste cuando estaba así No me busques cuando esté así,n/a,n/a,"Adrian Cortez así le voy a decir a ya sabes quién ( no AMLO, el otro)",https://www.facebook.com/profile.php?id=100000462065066&fref=hovercard&hc_location=ufi,tijuana,Raul Sanchezvas a estar rogando,https://www.facebook.com/profile.php?id=100004405179761&fref=hovercard&hc_location=ufi,puebla,Estefani Salinas,n/a,https://www.facebook.com/estherelizabeth.galicia?fref=hovercard&hc_location=ufi,Jajajajaja ni lo conosia señor AMLO cuando esta en la primer foto si no si lo huviera querido jejejeje como presidente claro,n/a,https://www.facebook.com/arandy.martinez.12?fref=hovercard&hc_location=ufi,Asta cree que lo vamos a rrogar jajajaj,yucatan,https://www.facebook.com/macki.mt?fref=hovercard&hc_location=ufi,Tec,n/a
71,memes85.jpg,https://www.facebook.com/492267194498559/photos/p.646260242432586/646260242432586/?type=1&opaqueCursor=AbowPV2ipGiVZsZPgcx7p2Di1EKVXZPoCCEIng_RPrKAtNRh6eWh5mbnGWbDTPh3Y0o6YfSgBQrquGuhKTqq7GydM40T2cB5-8az8EKI5RV9F7Ewar4Gu0Gj-66hBdoq4PigOIuFWqYa4HSY5vQayJzO-_1B0zz8tI6obGpaNtxSLAoqnE7nCCmEkUSKbW_914HZxXrTQBVHA7ICa3WBqzwQ3mcCVz0bQa6MhdwHAGOHuAeRS2ubZkxCUiremncl1BencSYG0W6K7tMLPC_N9P6lVtsVKaHTDyjV2jIL97JWWbKC-vZUnVnuDXiUQRnVyjPOqNRM8O7sGCgGOItpkLgupy3F3-4iSr3pOdfzYYQuBn6SLkod-dwamQweZUalH39k8g4em81zseu3Nhu87w4iP_GXCgJ8bdUGGTXu8CSUOAP-VMhST3rJDxsDHLI7uoDvY3cz7pJh5RizychM_7ZQ&theater,Memes Bahia,25,5,0,3,0,0,0,0,0,1,0,1,0,0,AMGODmx MEMES BAHIA AMLO no necesita un avión presidencial porque es puro de corazón y puede ser la nube voladora,AMLO. Siguenos >>> Memes Bahía,n/a,Javier Sandoval,https://www.facebook.com/teresa.quintana.39566?fref=hovercard&hc_location=ufi,Downey,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tec,n/a
72,memes86.jpg,https://www.facebook.com/Losmemesdepapel/photos/p.228149741272822/228149741272822/?type=1&opaqueCursor=Abp6AMWCUgGQ38jmlEHAul5pDpuKORhVfcE4-1TKGObOB1j4zZFqIdJEggnMuZgLxUv6ycsOxEzULcJikmRD_piRSicDqfduYf4rbkR8HI4Q8a-yXCjU_KyYBYMRaSmVRZEh386cxf5Zh71XONvcSGfogkHonYwCZSsR4tNRQFzrECXQRsQD_2EllRMEZvvf3gurR28xdeBRSY4mp-7EefWV8z9n8aHli7Ejzp5d2IoTuiERUEs3Lpuh4lC43JQ7Xx74JnoEY36VJOeuLYoHcNOkmAb-FPrW1NcF09SiiTURWUN8uMyWBSOl-R1lwVFYNaarHTIZFm4LrnaXW86iTHf_BwOzeHpY_UcgdYeeMifie90JL57B6hyRLcm_hC1PQiwXJZEdSnhvA__lywZ9l8T4zwfyxKJeyYkocTEXBD62hw&theater,Los Memes de Papel,2482,180,130,310,11,74,12,0,0,1,0,0,0,1,Apoyemos la propuesta de AMLO Revivir a Berlin,Así si voto por AMLO - Dubái.,n/a,"Por favor ya respeten la muerte del personaje!! La única forma que tiene de aparecer en la 3era temporada es en flashbacks.. recibió unos 300 balazos mínimo, sin contar que le quedaban 6 meses de vida. Sin importar que tan bueno sea un personaje, revivirlo contra esas circunstancias atentaria contra toda la maravilla que ha planteado la serie",https://www.facebook.com/mariojunior89?fref=hovercard&hc_location=ufi,n/a,Berlin su personaje fue una ostia joder siempre mantuvo a toda gas la serie fue una honda vital al corazon cuando dice hoy me apetece morir de una forma lovesna ostia joder no paraba de dar pavasos,https://www.facebook.com/vee.uzs?fref=hovercard&hc_location=ufi,Valencia,Si puede ser que reviva porque todas las balas le dieron en el pecho y ninguno en la cabeza puede ser que halla tenido chaleco antibalas!!!! QUE VUELVA BERLÍN,Madrid,https://www.facebook.com/yulissa.castillomanrique.9?fref=hovercard&hc_location=ufi,"Voto por una ley que prohíba los spoilers, gracias.",Leon,https://www.facebook.com/Ailyn.sua?fref=hovercard&hc_location=ufi,"Que profundicen en su relación con el profesor, con flashbacks bien intensos",N/A,https://www.facebook.com/johann.ocampo.393?fref=hovercard&hc_location=ufi,Tec,n/a
73,memes87.jpg,https://www.facebook.com/LordAMLO/photos/p.1690458501253515/1690458501253515/?type=1&opaqueCursor=AbqL6Nk_QPLbERGi940kFe7KcBjXZDEy5l2paJ49aSjaIRvd8k96bOvuycNYkisvvKcbr24NOO4hBMKbF1zzOvB_48-CcI_zbZNTcREUPYLrG0YdgD8P9oYCdrsgeOPSmXbq-EvNfnOTGLZqBHqzjiUDb33xRNV3LOsxqb-6EyvHs1DjMxGXW36pWk02vmbWAqaM2pd2K3aQUz65WYQ8gAhxTj7Er3ABsbEyNxdz6BaAnzJdljTvci0mKDUky5HcW6z_1LefyiMhPkv7dJeHxO5kk93MZTZxoo62C4qFTrvZYfgjKTnG5BaARXxoxyLLuK8NDeZsOqY38bJfXYG-ibeCnwWAlj4VbpOSPDGI4slHGk9JMyp-3tnf5pgwydzTc573M8Rpxm52wTGZImrIqAWQkpZNiGgHvyUr2cxpZ6AHAA&theater,AMLO y sus memes,182,22,5,20,1,0,0,0,0,1,0,0,1,0,Cuando intentas explicarle a tu amigo que Amlo no quiere hacer México como Cuba o Venezuela pero no entiendo tal vez no funciona en burros,¿Quién es tu amigo el burro?,n/a,gatitos bebe,https://www.facebook.com/carlosclld?fref=hovercard&hc_location=ufi,Monterrey,Jose Carlos Camacho Lopez,https://www.facebook.com/david.quirinomontemayor?fref=hovercard&hc_location=ufi,Monterrey,En Burros no funciona A triunfar morena,n/a,https://www.facebook.com/arturo.sanchezsanchez.7106?fref=hovercard&hc_location=ufi,Jajajaja en efecto no funciona jaja AMLO 2018,n/a,https://www.facebook.com/nancy.alvarado.355?fref=hovercard&hc_location=ufi,Puro ANAYA2018,Los Mochis,Puro ANAYA201,Tec,n/a
